letter,start_pos,end_pos,blue_motion_type,blue_prop_rot_dir,blue_start_loc,blue_end_loc,red_motion_type,red_prop_rot_dir,red_start_loc,red_end_loc
K,alpha4,beta1,anti,cw,e,n,anti,ccw,w,n
K,alpha2,beta1,anti,ccw,w,n,anti,cw,e,n
K,alpha4,beta3,anti,ccw,e,s,anti,cw,w,s
K,alpha1,beta4,anti,ccw,s,w,anti,cw,n,w
K,alpha3,beta2,anti,ccw,n,e,anti,cw,s,e
L,alpha1,beta2,anti,cw,s,e,pro,cw,n,e
L,alpha3,beta4,anti,cw,n,w,pro,cw,s,w
L,alpha2,beta3,anti,cw,w,s,pro,cw,e,s
L,alpha4,beta1,anti,cw,e,n,pro,cw,w,n
L,alpha2,beta1,anti,ccw,w,n,pro,ccw,e,n
L,alpha4,beta3,anti,ccw,e,s,pro,ccw,w,s
L,alpha1,beta4,anti,ccw,s,w,pro,ccw,n,w
L,alpha3,beta2,anti,ccw,n,e,pro,ccw,s,e
L,alpha1,beta2,pro,ccw,s,e,anti,ccw,n,e
L,alpha3,beta4,pro,ccw,n,w,anti,ccw,s,w
L,alpha2,beta3,pro,ccw,w,s,anti,ccw,e,s
L,alpha4,beta1,pro,ccw,e,n,anti,ccw,w,n
L,alpha2,beta1,pro,cw,w,n,anti,cw,e,n
L,alpha4,beta3,pro,cw,e,s,anti,cw,w,s
L,alpha1,beta4,pro,cw,s,w,anti,cw,n,w
L,alpha3,beta2,pro,cw,n,e,anti,cw,s,e
M,gamma1,gamma6,pro,ccw,w,s,pro,cw,n,e
M,gamma3,gamma8,pro,ccw,e,n,pro,cw,s,w
M,gamma2,gamma7,pro,ccw,n,w,pro,cw,e,s
M,gamma4,gamma5,pro,ccw,s,e,pro,cw,w,n
M,gamma6,gamma1,pro,cw,s,w,pro,ccw,e,n
M,gamma8,gamma3,pro,cw,n,e,pro,ccw,w,s
M,gamma5,gamma4,pro,cw,e,s,pro,ccw,n,w
M,gamma7,gamma2,pro,cw,w,n,pro,ccw,s,e
N,gamma1,gamma6,anti,cw,w,s,anti,ccw,n,e
N,gamma3,gamma8,anti,cw,e,n,anti,ccw,s,w
N,gamma2,gamma7,anti,cw,n,w,anti,ccw,e,s
N,gamma4,gamma5,anti,cw,s,e,anti,ccw,w,n
N,gamma6,gamma1,anti,ccw,s,w,anti,cw,e,n
N,gamma8,gamma3,anti,ccw,n,e,anti,cw,w,s
N,gamma5,gamma4,anti,ccw,e,s,anti,cw,n,w
N,gamma7,gamma2,anti,ccw,w,n,anti,cw,s,e
O,gamma1,gamma6,anti,cw,w,s,pro,cw,n,e
O,gamma3,gamma8,anti,cw,e,n,pro,cw,s,w
O,gamma2,gamma7,anti,cw,n,w,pro,cw,e,s
O,gamma4,gamma5,anti,cw,s,e,pro,cw,w,n
O,gamma6,gamma1,anti,ccw,s,w,pro,ccw,e,n
O,gamma8,gamma3,anti,ccw,n,e,pro,ccw,w,s
O,gamma5,gamma4,anti,ccw,e,s,pro,ccw,n,w
O,gamma7,gamma2,anti,ccw,w,n,pro,ccw,s,e
O,gamma1,gamma6,pro,ccw,w,s,anti,ccw,n,e
O,gamma3,gamma8,pro,ccw,e,n,anti,ccw,s,w
O,gamma2,gamma7,pro,ccw,n,w,anti,ccw,e,s
O,gamma4,gamma5,pro,ccw,s,e,anti,ccw,w,n
O,gamma6,gamma1,pro,cw,s,w,anti,cw,e,n
O,gamma8,gamma3,pro,cw,n,e,anti,cw,w,s
O,gamma5,gamma4,pro,cw,e,s,anti,cw,n,w
O,gamma7,gamma2,pro,cw,w,n,anti,cw,s,e
P,gamma5,gamma2,pro,ccw,e,n,pro,cw,n,e
P,gamma7,gamma4,pro,ccw,w,s,pro,cw,s,w
P,gamma6,gamma3,pro,ccw,s,e,pro,cw,e,s
P,gamma8,gamma1,pro,ccw,n,w,pro,cw,w,n
P,gamma2,gamma5,pro,cw,n,e,pro,ccw,e,n
P,gamma4,gamma7,pro,cw,s,w,pro,ccw,w,s
P,gamma1,gamma8,pro,cw,w,n,pro,ccw,n,w
P,gamma3,gamma6,pro,cw,e,s,pro,ccw,s,e
Q,gamma5,gamma2,anti,cw,e,n,anti,ccw,n,e
Q,gamma7,gamma4,anti,cw,w,s,anti,ccw,s,w
Q,gamma6,gamma3,anti,cw,s,e,anti,ccw,e,s
Q,gamma8,gamma1,anti,cw,n,w,anti,ccw,w,n
Q,gamma2,gamma5,anti,ccw,n,e,anti,cw,e,n
Q,gamma4,gamma7,anti,ccw,s,w,anti,cw,w,s
Q,gamma1,gamma8,anti,ccw,w,n,anti,cw,n,w
Q,gamma3,gamma6,anti,ccw,e,s,anti,cw,s,e
R,gamma5,gamma2,anti,cw,e,n,pro,cw,n,e
R,gamma7,gamma4,anti,cw,w,s,pro,cw,s,w
R,gamma6,gamma3,anti,cw,s,e,pro,cw,e,s
R,gamma8,gamma1,anti,cw,n,w,pro,cw,w,n
R,gamma2,gamma5,anti,ccw,n,e,pro,ccw,e,n
R,gamma4,gamma7,anti,ccw,s,w,pro,ccw,w,s
R,gamma1,gamma8,anti,ccw,w,n,pro,ccw,n,w
R,gamma3,gamma6,anti,ccw,e,s,pro,ccw,s,e
R,gamma5,gamma2,pro,ccw,e,n,anti,ccw,n,e
R,gamma7,gamma4,pro,ccw,w,s,anti,ccw,s,w
R,gamma6,gamma3,pro,ccw,s,e,anti,ccw,e,s
R,gamma8,gamma1,pro,ccw,n,w,anti,ccw,w,n
R,gamma2,gamma5,pro,cw,n,e,anti,cw,e,n
R,gamma4,gamma7,pro,cw,s,w,anti,cw,w,s
R,gamma1,gamma8,pro,cw,w,n,anti,cw,n,w
R,gamma3,gamma6,pro,cw,e,s,anti,cw,s,e
S,gamma1,gamma2,pro,cw,w,n,pro,cw,n,e
S,gamma3,gamma4,pro,cw,e,s,pro,cw,s,w
S,gamma2,gamma3,pro,cw,n,e,pro,cw,e,s
S,gamma4,gamma1,pro,cw,s,w,pro,cw,w,n
S,gamma6,gamma5,pro,ccw,s,e,pro,ccw,e,n
S,gamma8,gamma7,pro,ccw,n,w,pro,ccw,w,s
S,gamma5,gamma8,pro,ccw,e,n,pro,ccw,n,w
S,gamma7,gamma6,pro,ccw,w,s,pro,ccw,s,e
S,gamma5,gamma6,pro,cw,e,s,pro,cw,n,e
S,gamma7,gamma8,pro,cw,w,n,pro,cw,s,w
S,gamma6,gamma7,pro,cw,s,w,pro,cw,e,s
S,gamma8,gamma5,pro,cw,n,e,pro,cw,w,n
S,gamma2,gamma1,pro,ccw,n,w,pro,ccw,e,n
S,gamma4,gamma3,pro,ccw,s,e,pro,ccw,w,s
S,gamma1,gamma4,pro,ccw,w,s,pro,ccw,n,w
S,gamma3,gamma2,pro,ccw,e,n,pro,ccw,s,e
T,gamma1,gamma2,anti,ccw,w,n,anti,ccw,n,e
T,gamma3,gamma4,anti,ccw,e,s,anti,ccw,s,w
T,gamma2,gamma3,anti,ccw,n,e,anti,ccw,e,s
T,gamma4,gamma1,anti,ccw,s,w,anti,ccw,w,n
T,gamma6,gamma5,anti,cw,s,e,anti,cw,e,n
T,gamma8,gamma7,anti,cw,n,w,anti,cw,w,s
T,gamma5,gamma8,anti,cw,e,n,anti,cw,n,w
T,gamma7,gamma6,anti,cw,w,s,anti,cw,s,e
T,gamma5,gamma6,anti,ccw,e,s,anti,ccw,n,e
T,gamma7,gamma8,anti,ccw,w,n,anti,ccw,s,w
T,gamma6,gamma7,anti,ccw,s,w,anti,ccw,e,s
T,gamma8,gamma5,anti,ccw,n,e,anti,ccw,w,n
T,gamma2,gamma1,anti,cw,n,w,anti,cw,e,n
T,gamma4,gamma3,anti,cw,s,e,anti,cw,w,s
T,gamma1,gamma4,anti,cw,w,s,anti,cw,n,w
T,gamma3,gamma2,anti,cw,e,n,anti,cw,s,e
U,gamma5,gamma6,pro,cw,e,s,anti,ccw,n,e
U,gamma7,gamma8,pro,cw,w,n,anti,ccw,s,w
U,gamma6,gamma7,pro,cw,s,w,anti,ccw,e,s
U,gamma8,gamma5,pro,cw,n,e,anti,ccw,w,n
U,gamma1,gamma2,anti,ccw,w,n,pro,cw,n,e
U,gamma3,gamma4,anti,ccw,e,s,pro,cw,s,w
U,gamma2,gamma3,anti,ccw,n,e,pro,cw,e,s
U,gamma4,gamma1,anti,ccw,s,w,pro,cw,w,n
U,gamma2,gamma1,pro,ccw,n,w,anti,cw,e,n
U,gamma4,gamma3,pro,ccw,s,e,anti,cw,w,s
U,gamma1,gamma4,pro,ccw,w,s,anti,cw,n,w
U,gamma3,gamma2,pro,ccw,e,n,anti,cw,s,e
U,gamma6,gamma5,anti,cw,s,e,pro,ccw,e,n
U,gamma8,gamma7,anti,cw,n,w,pro,ccw,w,s
U,gamma5,gamma8,anti,cw,e,n,pro,ccw,n,w
U,gamma7,gamma6,anti,cw,w,s,pro,ccw,s,e
V,gamma5,gamma6,anti,ccw,e,s,pro,cw,n,e
V,gamma7,gamma8,anti,ccw,w,n,pro,cw,s,w
V,gamma6,gamma7,anti,ccw,s,w,pro,cw,e,s
V,gamma8,gamma5,anti,ccw,n,e,pro,cw,w,n
V,gamma1,gamma2,pro,cw,w,n,anti,ccw,n,e
V,gamma3,gamma4,pro,cw,e,s,anti,ccw,s,w
V,gamma2,gamma3,pro,cw,n,e,anti,ccw,e,s
V,gamma4,gamma1,pro,cw,s,w,anti,ccw,w,n
V,gamma2,gamma1,anti,cw,n,w,pro,ccw,e,n
V,gamma4,gamma3,anti,cw,s,e,pro,ccw,w,s
V,gamma1,gamma4,anti,cw,w,s,pro,ccw,n,w
V,gamma3,gamma2,anti,cw,e,n,pro,ccw,s,e
V,gamma6,gamma5,pro,ccw,s,e,anti,cw,e,n
V,gamma8,gamma7,pro,ccw,n,w,anti,cw,w,s
V,gamma5,gamma8,pro,ccw,e,n,anti,cw,n,w
V,gamma7,gamma6,pro,ccw,w,s,anti,cw,s,e
W,gamma1,alpha2,static,NoRotation,w,w,pro,cw,n,e
W,gamma3,alpha4,static,NoRotation,e,e,pro,cw,s,w
W,gamma2,alpha3,static,NoRotation,n,n,pro,cw,e,s
W,gamma4,alpha1,static,NoRotation,s,s,pro,cw,w,n
W,gamma6,alpha1,static,NoRotation,s,s,pro,ccw,e,n
W,gamma8,alpha3,static,NoRotation,n,n,pro,ccw,w,s
W,gamma5,alpha4,static,NoRotation,e,e,pro,ccw,n,w
W,gamma7,alpha2,static,NoRotation,w,w,pro,ccw,s,e
W,gamma8,alpha4,pro,cw,n,e,static,NoRotation,w,w
W,gamma6,alpha2,pro,cw,s,w,static,NoRotation,e,e
W,gamma5,alpha1,pro,cw,e,s,static,NoRotation,n,n
W,gamma7,alpha3,pro,cw,w,n,static,NoRotation,s,s
W,gamma3,alpha3,pro,ccw,e,n,static,NoRotation,s,s
W,gamma1,alpha1,pro,ccw,w,s,static,NoRotation,n,n
W,gamma2,alpha2,pro,ccw,n,w,static,NoRotation,e,e
W,gamma4,alpha4,pro,ccw,s,e,static,NoRotation,w,w
X,gamma1,alpha2,static,NoRotation,w,w,anti,ccw,n,e
X,gamma3,alpha4,static,NoRotation,e,e,anti,ccw,s,w
X,gamma2,alpha3,static,NoRotation,n,n,anti,ccw,e,s
X,gamma4,alpha1,static,NoRotation,s,s,anti,ccw,w,n
X,gamma6,alpha1,static,NoRotation,s,s,anti,cw,e,n
X,gamma8,alpha3,static,NoRotation,n,n,anti,cw,w,s
X,gamma5,alpha4,static,NoRotation,e,e,anti,cw,n,w
X,gamma7,alpha2,static,NoRotation,w,w,anti,cw,s,e
X,gamma8,alpha4,anti,ccw,n,e,static,NoRotation,w,w
X,gamma6,alpha2,anti,ccw,s,w,static,NoRotation,e,e
X,gamma5,alpha1,anti,ccw,e,s,static,NoRotation,n,n
X,gamma7,alpha3,anti,ccw,w,n,static,NoRotation,s,s
X,gamma3,alpha3,anti,cw,e,n,static,NoRotation,s,s
X,gamma1,alpha1,anti,cw,w,s,static,NoRotation,n,n
X,gamma2,alpha2,anti,cw,n,w,static,NoRotation,e,e
X,gamma4,alpha4,anti,cw,s,e,static,NoRotation,w,w
Y,gamma5,beta2,static,NoRotation,e,e,pro,cw,n,e
Y,gamma7,beta4,static,NoRotation,w,w,pro,cw,s,w
Y,gamma6,beta3,static,NoRotation,s,s,pro,cw,e,s
Y,gamma8,beta1,static,NoRotation,n,n,pro,cw,w,n
Y,gamma2,beta1,static,NoRotation,n,n,pro,ccw,e,n
Y,gamma4,beta3,static,NoRotation,s,s,pro,ccw,w,s
Y,gamma1,beta4,static,NoRotation,w,w,pro,ccw,n,w
Y,gamma3,beta2,static,NoRotation,e,e,pro,ccw,s,e
Y,gamma2,beta2,pro,cw,n,e,static,NoRotation,e,e
Y,gamma4,beta4,pro,cw,s,w,static,NoRotation,w,w
Y,gamma3,beta3,pro,cw,e,s,static,NoRotation,s,s
Y,gamma1,beta1,pro,cw,w,n,static,NoRotation,n,n
Y,gamma5,beta1,pro,ccw,e,n,static,NoRotation,n,n
Y,gamma7,beta3,pro,ccw,w,s,static,NoRotation,s,s
Y,gamma8,beta4,pro,ccw,n,w,static,NoRotation,w,w
Y,gamma6,beta2,pro,ccw,s,e,static,NoRotation,e,e
Z,gamma5,beta2,static,NoRotation,e,e,anti,ccw,n,e
Z,gamma7,beta4,static,NoRotation,w,w,anti,ccw,s,w
Z,gamma6,beta3,static,NoRotation,s,s,anti,ccw,e,s
Z,gamma8,beta1,static,NoRotation,n,n,anti,ccw,w,n
Z,gamma2,beta1,static,NoRotation,n,n,anti,cw,e,n
Z,gamma4,beta3,static,NoRotation,s,s,anti,cw,w,s
Z,gamma1,beta4,static,NoRotation,w,w,anti,cw,n,w
Z,gamma3,beta2,static,NoRotation,e,e,anti,cw,s,e
Z,gamma2,beta2,anti,ccw,n,e,static,NoRotation,e,e
Z,gamma4,beta4,anti,ccw,s,w,static,NoRotation,w,w
Z,gamma3,beta3,anti,ccw,e,s,static,NoRotation,s,s
Z,gamma1,beta1,anti,ccw,w,n,static,NoRotation,n,n
Z,gamma5,beta1,anti,cw,e,n,static,NoRotation,n,n
Z,gamma7,beta3,anti,cw,w,s,static,NoRotation,s,s
Z,gamma8,beta4,anti,cw,n,w,static,NoRotation,w,w
Z,gamma6,beta2,anti,cw,s,e,static,NoRotation,e,e
Σ,alpha1,gamma6,static,NoRotation,s,s,pro,cw,n,e
Σ,alpha3,gamma8,static,NoRotation,n,n,pro,cw,s,w
Σ,alpha2,gamma7,static,NoRotation,w,w,pro,cw,e,s
Σ,alpha4,gamma5,static,NoRotation,e,e,pro,cw,w,n
Σ,alpha2,gamma1,static,NoRotation,w,w,pro,ccw,e,n
Σ,alpha4,gamma3,static,NoRotation,e,e,pro,ccw,w,s
Σ,alpha1,gamma4,static,NoRotation,s,s,pro,ccw,n,w
Σ,alpha3,gamma2,static,NoRotation,n,n,pro,ccw,s,e
Σ,alpha3,gamma3,pro,cw,n,e,static,NoRotation,s,s
Σ,alpha1,gamma1,pro,cw,s,w,static,NoRotation,n,n
Σ,alpha4,gamma4,pro,cw,e,s,static,NoRotation,w,w
Σ,alpha2,gamma2,pro,cw,w,n,static,NoRotation,e,e
Σ,alpha4,gamma8,pro,ccw,e,n,static,NoRotation,w,w
Σ,alpha2,gamma6,pro,ccw,w,s,static,NoRotation,e,e
Σ,alpha3,gamma7,pro,ccw,n,w,static,NoRotation,s,s
Σ,alpha1,gamma5,pro,ccw,s,e,static,NoRotation,n,n
Δ,alpha1,gamma6,static,NoRotation,s,s,anti,ccw,n,e
Δ,alpha3,gamma8,static,NoRotation,n,n,anti,ccw,s,w
Δ,alpha2,gamma7,static,NoRotation,w,w,anti,ccw,e,s
Δ,alpha4,gamma5,static,NoRotation,e,e,anti,ccw,w,n
Δ,alpha2,gamma1,static,NoRotation,w,w,anti,cw,e,n
Δ,alpha4,gamma3,static,NoRotation,e,e,anti,cw,w,s
Δ,alpha1,gamma4,static,NoRotation,s,s,anti,cw,n,w
Δ,alpha3,gamma2,static,NoRotation,n,n,anti,cw,s,e
Δ,alpha3,gamma3,anti,ccw,n,e,static,NoRotation,s,s
Δ,alpha1,gamma1,anti,ccw,s,w,static,NoRotation,n,n
Δ,alpha4,gamma4,anti,ccw,e,s,static,NoRotation,w,w
Δ,alpha2,gamma2,anti,ccw,w,n,static,NoRotation,e,e
Δ,alpha4,gamma8,anti,cw,e,n,static,NoRotation,w,w
Δ,alpha2,gamma6,anti,cw,w,s,static,NoRotation,e,e
Δ,alpha3,gamma7,anti,cw,n,w,static,NoRotation,s,s
Δ,alpha1,gamma5,anti,cw,s,e,static,NoRotation,n,n
θ,beta1,gamma2,static,NoRotation,n,n,pro,cw,n,e
θ,beta3,gamma4,static,NoRotation,s,s,pro,cw,s,w
θ,beta2,gamma3,static,NoRotation,e,e,pro,cw,e,s
θ,beta4,gamma1,static,NoRotation,w,w,pro,cw,w,n
θ,beta2,gamma5,static,NoRotation,e,e,pro,ccw,e,n
θ,beta4,gamma7,static,NoRotation,w,w,pro,ccw,w,s
θ,beta1,gamma8,static,NoRotation,n,n,pro,ccw,n,w
θ,beta3,gamma6,static,NoRotation,s,s,pro,ccw,s,e
θ,beta1,gamma5,pro,cw,n,e,static,NoRotation,n,n
θ,beta3,gamma7,pro,cw,s,w,static,NoRotation,s,s
θ,beta2,gamma6,pro,cw,e,s,static,NoRotation,e,e
θ,beta4,gamma8,pro,cw,w,n,static,NoRotation,w,w
θ,beta2,gamma2,pro,ccw,e,n,static,NoRotation,e,e
θ,beta4,gamma4,pro,ccw,w,s,static,NoRotation,w,w
θ,beta1,gamma1,pro,ccw,n,w,static,NoRotation,n,n
θ,beta3,gamma3,pro,ccw,s,e,static,NoRotation,s,s
Ω,beta1,gamma2,static,NoRotation,n,n,anti,ccw,n,e
Ω,beta3,gamma4,static,NoRotation,s,s,anti,ccw,s,w
Ω,beta2,gamma3,static,NoRotation,e,e,anti,ccw,e,s
Ω,beta4,gamma1,static,NoRotation,w,w,anti,ccw,w,n
Ω,beta2,gamma5,static,NoRotation,e,e,anti,cw,e,n
Ω,beta4,gamma7,static,NoRotation,w,w,anti,cw,w,s
Ω,beta1,gamma8,static,NoRotation,n,n,anti,cw,n,w
Ω,beta3,gamma6,static,NoRotation,s,s,anti,cw,s,e
Ω,beta1,gamma5,anti,ccw,n,e,static,NoRotation,n,n
Ω,beta3,gamma7,anti,ccw,s,w,static,NoRotation,s,s
Ω,beta2,gamma6,anti,ccw,e,s,static,NoRotation,e,e
Ω,beta4,gamma8,anti,ccw,w,n,static,NoRotation,w,w
Ω,beta2,gamma2,anti,cw,e,n,static,NoRotation,e,e
Ω,beta4,gamma4,anti,cw,w,s,static,NoRotation,w,w
Ω,beta1,gamma1,anti,cw,n,w,static,NoRotation,n,n
Ω,beta3,gamma3,anti,cw,s,e,static,NoRotation,s,s
W-,gamma5,alpha2,dash,NoRotation,e,w,pro,cw,n,e
W-,gamma7,alpha4,dash,NoRotation,w,e,pro,cw,s,w
W-,gamma6,alpha3,dash,NoRotation,s,n,pro,cw,e,s
W-,gamma8,alpha1,dash,NoRotation,n,s,pro,cw,w,n
W-,gamma2,alpha1,dash,NoRotation,n,s,pro,ccw,e,n
W-,gamma4,alpha3,dash,NoRotation,s,n,pro,ccw,w,s
W-,gamma1,alpha4,dash,NoRotation,w,e,pro,ccw,n,w
W-,gamma3,alpha2,dash,NoRotation,e,w,pro,ccw,s,e
W-,gamma2,alpha4,pro,cw,n,e,dash,NoRotation,e,w
W-,gamma4,alpha2,pro,cw,s,w,dash,NoRotation,w,e
W-,gamma3,alpha1,pro,cw,e,s,dash,NoRotation,s,n
W-,gamma1,alpha3,pro,cw,w,n,dash,NoRotation,n,s
W-,gamma5,alpha3,pro,ccw,e,n,dash,NoRotation,n,s
W-,gamma7,alpha1,pro,ccw,w,s,dash,NoRotation,s,n
W-,gamma8,alpha2,pro,ccw,n,w,dash,NoRotation,w,e
W-,gamma6,alpha4,pro,ccw,s,e,dash,NoRotation,e,w
X-,gamma5,alpha2,dash,NoRotation,e,w,anti,ccw,n,e
X-,gamma7,alpha4,dash,NoRotation,w,e,anti,ccw,s,w
X-,gamma6,alpha3,dash,NoRotation,s,n,anti,ccw,e,s
X-,gamma8,alpha1,dash,NoRotation,n,s,anti,ccw,w,n
X-,gamma2,alpha1,dash,NoRotation,n,s,anti,cw,e,n
X-,gamma4,alpha3,dash,NoRotation,s,n,anti,cw,w,s
X-,gamma1,alpha4,dash,NoRotation,w,e,anti,cw,n,w
X-,gamma3,alpha2,dash,NoRotation,e,w,anti,cw,s,e
X-,gamma2,alpha4,anti,ccw,n,e,dash,NoRotation,e,w
X-,gamma4,alpha2,anti,ccw,s,w,dash,NoRotation,w,e
X-,gamma3,alpha1,anti,ccw,e,s,dash,NoRotation,s,n
